METADATA:
Experiment Seed,Number of Games,Subject
6047679,6,Enter Name Here
Time after setup,0.46284310007467866
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Game Task
Start Time,4.157414400018752
Game Task Start,4.361215200042352,,,,Game Task,1,6,,,
Game Init,67.24892799998634,,,,Game Task,1,6,,,
Game Start,67.24897910002619,,,,Game Task,1,6,,The Long Dark,
ESQ 1,378.3461124000605,,,,Game Task,1,6,,293.0317756497936,
ESQ,384.2741128001362,,Focus_start,,Game Task,1,6,,,The Long Dark
ESQ,392.0124904999975,,Focus_response,8.000000000000004,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,392.0170672999229,,Emotion_start,,Game Task,1,6,,,The Long Dark
ESQ,398.6548379000742,,Emotion_response,8.099999999999989,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,398.6581878999714,,Sounds_start,,Game Task,1,6,,,The Long Dark
ESQ,406.8379216999747,,Sounds_response,7.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,406.8410608000122,,Intrusive_start,,Game Task,1,6,,,The Long Dark
ESQ,414.40230119996704,,Intrusive_response,1.600000000000008,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,414.4062008999754,,Other_start,,Game Task,1,6,,,The Long Dark
ESQ,418.87368239997886,,Other_response,4.900000000000002,Game Task,1,6,,Marker Started at 2,The Long Dark
ESQ,418.8777520000003,,Absorption_start,,Game Task,1,6,,,The Long Dark
ESQ,422.2482277001254,,Absorption_response,7.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,422.2520580999553,,Images_start,,Game Task,1,6,,,The Long Dark
ESQ,424.5661226999946,,Images_response,7.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,424.5702303999569,,Self_start,,Game Task,1,6,,,The Long Dark
ESQ,429.06367910001427,,Self_response,10.0,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,429.06704830005765,,Deliberate_start,,Game Task,1,6,,,The Long Dark
ESQ,434.6757918000221,,Deliberate_response,2.499999999999998,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,434.6791704001371,,Past_start,,Game Task,1,6,,,The Long Dark
ESQ,440.7907346000429,,Past_response,5.3000000000000025,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,440.79448079993017,,Words_start,,Game Task,1,6,,,The Long Dark
ESQ,444.32803490012884,,Words_response,7.199999999999996,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,444.3319808000233,,Problem_start,,Game Task,1,6,,,The Long Dark
ESQ,450.3176301999483,,Problem_response,3.9000000000000097,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,450.3207541999873,,Distracting_start,,Game Task,1,6,,,The Long Dark
ESQ,455.84101069997996,,Distracting_response,4.800000000000007,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,455.8444370001089,,Knowledge_start,,Game Task,1,6,,,The Long Dark
